document_id,document_name,type,folder_id,path,level
358,Maintain image map popups,0,355,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Image maps,5
359,Change/delete image map,0,355,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Image maps,5
360,Examples,4,355,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Image maps,5
363,Save & release - overview,1,362,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Save & release,5
367,Image folders - overview,1,366,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Image folders,5
368,Display 25 most used images,0,366,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Image folders,5
369,Create image folder,0,366,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Image folders,5
370,Rename image folder,0,366,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Image folders,5
371,Move image folder,0,366,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Image folders,5
372,Remove image folder,0,366,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Image folders,5
373,Reinstate image/image folder orphan,0,366,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Image folders,5
375,Images - overview,1,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
376,Snip images,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
377,Import images,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
378,View image properties,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
379,Rename image,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
380,Move image,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
381,Copy image,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
382,Remove image,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
383,Search for an image,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
384,Reinstate image/image folder orphan,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
385,Change display options,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
386,Maintain image properties,0,374,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Image view/Images,5
390,Users - overview,1,389,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users,5
391,Create user,4,389,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users,5
395,Manage user,4,389,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users,5
403,Manage user properties,4,389,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users,5
408,Roles - overview,1,407,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Roles,5
409,Create custom role,0,407,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Roles,5
410,Rename custom role,0,407,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Roles,5
411,Delete custom role,0,407,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Roles,5
412,Add role to another role,0,407,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Roles,5
413,Remove role from another role,0,407,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Roles,5
415,Variables - overview,1,414,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Variables,5
416,Display role & user variables,0,414,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Variables,5
417,Maintain secondary database setting,0,414,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Variables,5
418,Maintain default database setting,0,414,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Variables,5
464,Configuration - overview,1,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
465,Maintain security settings,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
466,Maintain LDAP settings,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
467,Maintain Active Directory settings,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
468,Maintain configuration settings,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
469,Maintain advanced configuration settings,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
470,Maintain search setup settings,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
471,Maintain Author settings,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
472,Maintain Viewer settings,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
473,Maintain Viewer advanced settings,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
474,Maintain report catalog,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
475,Maintain customized reports,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
476,Export configuration settings to XML,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
477,Import configuration settings from XML,0,463,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Configuration,5
479,Context sensitive help - overview,1,478,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Context sensitive help,5
480,Review application for CSH - process,2,478,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Context sensitive help,5
481,Analyze CSH settings,0,478,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Context sensitive help,5
481,Analyze CSH settings,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
482,Maintain context sensitive help settings,0,478,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Context sensitive help,5
484,Workflow settings - overview,1,483,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Workflow,5
485,Maintain Workflow settings,0,483,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Workflow,5
487,Upgrade server,0,486,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Maintenance,5
488,Rebuild indexes,0,486,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Maintenance,5
489,Restart server,0,486,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Maintenance,5
490,Audit log archival & cleanup,0,486,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Maintenance,5
491,Document locks,0,486,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Maintenance,5
492,Data origin,0,486,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Maintenance,5
494,Maintain plugins,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
495,Run script,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
496,Manage stylesheets,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
497,Create scheduled task,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
498,Clone database,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
499,Export content to external database,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
500,Import users from file,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
501,Set up custom properties,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
502,Setup HTTPS,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
503,Replicate content,0,493,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Portal/Administration/Tools,5
622,WS_AutoTEST_Document_Yra,0,621,Home/TOSCA Documents/General/Files/WS_Folder_uXk,5
224,Review Documents view icons,0,307,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view,6
225,Change Folder list view columns,0,307,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view,6
229,Create document folder,0,228,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Create document folder,6
230,Copy document folder,0,228,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Create document folder,6
231,Localize document folder,0,228,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Create document folder,6
232,Branch document folder,0,228,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Create document folder,6
233,Branch localize document folder,0,228,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Create document folder,6
235,Reference document folder,0,234,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder,6
236,Move documents and folders,0,234,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder,6
236,Move documents and folders,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
237,Remove documents and folders,0,234,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder,6
237,Remove documents and folders,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
238,Reinstate orphan,0,234,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder,6
238,Reinstate orphan,0,258,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Documents/Manage document,6
239,Sort alphabetically,0,234,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Document folders/Manage document folder,6
